latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation,,,,,,,,,,,,
55.9227,-3.1288,74,0,GMT,GMT,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
time,temperature_2m (°C),relative_humidity_2m (%),dew_point_2m (°C),precipitation (mm),cloud_cover (%),shortwave_radiation (W/m²),direct_radiation (W/m²),diffuse_radiation (W/m²),direct_normal_irradiance (W/m²),global_tilted_irradiance (W/m²),terrestrial_radiation (W/m²),shortwave_radiation_instant (W/m²),direct_radiation_instant (W/m²),diffuse_radiation_instant (W/m²),direct_normal_irradiance_instant (W/m²),global_tilted_irradiance_instant (W/m²),terrestrial_radiation_instant (W/m²)
2022-11-01T00:00,11.5,83,8.6,0.5,94,0,0,0,0,0,0,0,0,0,0,0,0
2022-11-01T01:00,10.9,87,8.8,1.2,70,0,0,0,0,0,0,0,0,0,0,0,0
2022-11-01T02:00,10.7,93,9.6,1.2,100,0,0,0,0,0,0,0,0,0,0,0,0
2022-11-01T03:00,10.8,93,9.7,0.7,100,0,0,0,0,0,0,0,0,0,0,0,0
2022-11-01T04:00,10.5,94,9.6,0.7,100,0,0,0,0,0,0,0,0,0,0,0,0
2022-11-01T05:00,10.4,95,9.7,1.1,100,0,0,0,0,0,0,0,0,0,0,0,0
2022-11-01T06:00,10.4,96,9.8,0.6,100,0,0,0,0,0,0,0,0,0,0,0,0
2022-11-01T07:00,9.9,96,9.3,0.2,90,0,0,0,0,0,0,0,0,0,0,0,0
2022-11-01T08:00,10.1,92,8.8,0,100,8,1,7,13.8,8,41.2,19.6,2.4,17.1,28.1,8,100.8
2022-11-01T09:00,11,85,8.6,0,27,27,0,27,0,27,180.2,38.1,0,38.1,0,38.1,254.5
2022-11-01T10:00,10.8,79,7.3,0,21,162,84,78,368.9,162,316.3,190.2,98.6,91.6,368.9,190.2,371.3
2022-11-01T11:00,11,76,6.8,0,62,222,133,89,449.3,222,411.1,239.3,143.4,95.9,449.3,239.3,443.2
2022-11-01T12:00,11.2,75,6.9,0,46,239,140,99,424.2,239,458.4,242.6,142.1,100.5,424.2,242.6,465.3
2022-11-01T13:00,11.7,71,6.6,0,19,231,133,98,406.2,231,454.8,221.5,127.5,94,406.2,221.5,436.1
2022-11-01T14:00,11.6,71,6.5,0,25,227,149,78,516.7,227,400.5,202.6,133,69.6,516.7,202.6,357.4
2022-11-01T15:00,11,72,6.2,0,86,145,77,68,357.3,145,299.3,113.7,60.4,53.3,357.3,113.7,234.8
2022-11-01T16:00,10.6,72,5.8,0,42,47,1,46,8.2,47,158.1,22.7,0.5,22.3,5.6,21.2,76.5
2022-11-01T17:00,10.1,74,5.7,0,34,4,0,4,0,4,28.5,0,0,0,0,0,0
2022-11-01T18:00,9.4,77,5.5,0,32,0,0,0,0,0,0,0,0,0,0,0,0
2022-11-01T19:00,8.9,79,5.5,0,32,0,0,0,0,0,0,0,0,0,0,0,0
2022-11-01T20:00,8.6,81,5.4,0,35,0,0,0,0,0,0,0,0,0,0,0,0
2022-11-01T21:00,8.7,80,5.4,0,68,0,0,0,0,0,0,0,0,0,0,0,0
2022-11-01T22:00,8.5,81,5.3,0,90,0,0,0,0,0,0,0,0,0,0,0,0
2022-11-01T23:00,8.4,81,5.4,0,100,0,0,0,0,0,0,0,0,0,0,0,0
2022-11-02T00:00,8.7,74,4.4,0,87,0,0,0,0,0,0,0,0,0,0,0,0
2022-11-02T01:00,8.2,77,4.5,0,64,0,0,0,0,0,0,0,0,0,0,0,0
2022-11-02T02:00,8.1,79,4.8,0,31,0,0,0,0,0,0,0,0,0,0,0,0
2022-11-02T03:00,7.6,78,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0
2022-11-02T04:00,7.1,81,4.1,0,13,0,0,0,0,0,0,0,0,0,0,0,0
2022-11-02T05:00,7.1,81,4,0,23,0,0,0,0,0,0,0,0,0,0,0,0
2022-11-02T06:00,6.9,81,3.9,0,26,0,0,0,0,0,0,0,0,0,0,0,0
2022-11-02T07:00,6.5,79,3.2,0,43,0,0,0,0,0,0,0,0,0,0,0,0
2022-11-02T08:00,6.8,78,3.3,0,89,9,3,6,42.7,9,37.8,22.4,7.5,15,85.8,8.7,94.2
2022-11-02T09:00,8.3,73,3.8,0,65,75,25,50,196.4,75,173.5,107.1,35.7,71.4,200.2,105.1,247.8
2022-11-02T10:00,10,67,4.2,0,100,109,8,101,35.9,109,309.4,128.4,9.4,119,35.9,128.4,364.5
2022-11-02T11:00,10.1,74,5.7,0.3,100,81,1,80,3.4,81,404.2,87.4,1.1,86.3,3.4,87.4,436.3
2022-11-02T12:00,10.1,81,6.9,0.8,100,69,0,69,0,69,451.4,70.1,0,70.1,0,70.1,458.3
2022-11-02T13:00,10.2,84,7.5,0.9,100,95,1,94,3.1,95,447.8,91,1,90.1,3.1,91,429.1
2022-11-02T14:00,10,84,7.4,3.3,100,42,0,42,0,42,393.6,37.4,0,37.4,0,37.4,350.6
2022-11-02T15:00,10.5,83,7.7,2.6,100,34,0,34,0,34,292.5,26.5,0,26.5,0,26.5,228
2022-11-02T16:00,10.9,86,8.6,1.7,100,31,3,28,25.1,31,151.4,14.3,1.4,12.9,15.9,13,69.9
2022-11-02T17:00,11.7,80,8.3,0.1,85,2,0,2,0,2,25.2,0,0,0,0,0,0
2022-11-02T18:00,10.7,77,6.9,0.3,76,0,0,0,0,0,0,0,0,0,0,0,0
2022-11-02T19:00,10.1,77,6.3,0,74,0,0,0,0,0,0,0,0,0,0,0,0
2022-11-02T20:00,10.2,73,5.6,0,86,0,0,0,0,0,0,0,0,0,0,0,0
2022-11-02T21:00,9.8,74,5.3,0,100,0,0,0,0,0,0,0,0,0,0,0,0
2022-11-02T22:00,9.7,75,5.4,0.1,100,0,0,0,0,0,0,0,0,0,0,0,0
2022-11-02T23:00,9.8,74,5.4,0.1,97,0,0,0,0,0,0,0,0,0,0,0,0
2022-11-03T00:00,9.9,72,5,0,16,0,0,0,0,0,0,0,0,0,0,0,0
2022-11-03T01:00,9.7,68,4.1,0,25,0,0,0,0,0,0,0,0,0,0,0,0
2022-11-03T02:00,9.3,69,3.8,0,31,0,0,0,0,0,0,0,0,0,0,0,0
2022-11-03T03:00,8.7,70,3.5,0,15,0,0,0,0,0,0,0,0,0,0,0,0
2022-11-03T04:00,8.2,74,3.8,0,26,0,0,0,0,0,0,0,0,0,0,0,0
2022-11-03T05:00,7.9,73,3.4,0,4,0,0,0,0,0,0,0,0,0,0,0,0
2022-11-03T06:00,7.4,78,3.8,0,4,0,0,0,0,0,0,0,0,0,0,0,0
2022-11-03T07:00,6.9,82,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0
2022-11-03T08:00,6.6,84,4.1,0,1,8,3,5,44.2,8,34.4,20.4,7.6,12.7,87.6,7.4,87.6
2022-11-03T09:00,7.2,83,4.5,0,0,86,55,31,441.2,86,166.9,124.2,79.5,44.8,458.2,119.6,241.1
2022-11-03T10:00,8.2,77,4.5,0,0,177,125,52,574.2,177,302.6,209.2,147.7,61.4,574.2,209.2,357.6
2022-11-03T11:00,9.2,74,4.8,0,4,243,182,61,636.8,243,397.4,262.6,196.7,65.9,636.8,262.6,429.4
2022-11-03T12:00,10.5,73,5.8,0,16,277,212,65,663,277,444.5,281.3,215.3,66,663,281.3,451.4
2022-11-03T13:00,10.7,70,5.6,0,22,255,173,82,545.5,255,440.9,244.2,165.7,78.5,545.5,244.2,422.2
2022-11-03T14:00,10.7,68,5.1,0,20,209,123,86,442.2,209,386.8,185.7,109.3,76.4,442.2,185.7,343.7
2022-11-03T15:00,10.2,75,5.9,0,26,147,89,58,433,147,285.7,113.9,68.9,44.9,433,113.9,221.3
2022-11-03T16:00,10,70,4.7,0,29,59,30,29,256.5,59,144.7,25.8,13.1,12.7,150.6,23,63.3
2022-11-03T17:00,9.4,72,4.5,0,36,4,1,3,16.9,4,21.8,0,0,0,0,0,0
2022-11-03T18:00,8.9,73,4.4,0,25,0,0,0,0,0,0,0,0,0,0,0,0
2022-11-03T19:00,7.1,83,4.4,0,13,0,0,0,0,0,0,0,0,0,0,0,0
2022-11-03T20:00,4.9,91,3.5,0,10,0,0,0,0,0,0,0,0,0,0,0,0
2022-11-03T21:00,4.7,89,3,0,10,0,0,0,0,0,0,0,0,0,0,0,0
2022-11-03T22:00,5.3,87,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-11-03T23:00,5.4,87,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-11-04T00:00,5.6,90,4.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-11-04T01:00,5.1,90,3.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-11-04T02:00,4.8,90,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-11-04T03:00,4.7,89,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-11-04T04:00,4.7,88,2.8,0,16,0,0,0,0,0,0,0,0,0,0,0,0
2022-11-04T05:00,4.7,87,2.7,0,8,0,0,0,0,0,0,0,0,0,0,0,0
2022-11-04T06:00,4.9,86,2.7,0,3,0,0,0,0,0,0,0,0,0,0,0,0
2022-11-04T07:00,5.2,86,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-11-04T08:00,5.9,85,3.5,0,0,7,3,4,45.8,7,31,18.3,7.8,10.4,89.8,6.2,81
2022-11-04T09:00,7.3,80,4.1,0,0,81,50,31,409.6,81,160.2,118.5,73.1,45.3,434,111.8,234.3
2022-11-04T10:00,8.9,74,4.6,0,13,178,133,45,625.2,178,295.9,211,157.7,53.4,625.2,211,350.8
2022-11-04T11:00,9.7,73,5.1,0.1,47,234,166,68,591.3,234,390.5,253.2,179.6,73.6,591.3,253.2,422.5
2022-11-04T12:00,10.3,75,6,0,49,206,111,95,352.8,206,437.6,209.2,112.7,96.5,352.8,209.2,444.5
2022-11-04T13:00,10.6,73,5.9,0,30,241,153,88,490.3,241,434,230.6,146.4,84.2,490.3,230.6,415.3
2022-11-04T14:00,10.6,73,5.9,0,12,221,152,69,556.5,221,379.9,196,134.8,61.2,556.5,196,337
2022-11-04T15:00,10.2,76,6.1,0,1,154,102,52,508.5,154,279,118.5,78.5,40,508.5,118.5,214.7
2022-11-04T16:00,9.1,82,6.1,0,1,67,40,27,349.5,67,138.2,27.6,16.5,11.1,188.9,23.9,56.9
2022-11-04T17:00,8.1,86,5.9,0,29,3,1,2,17.6,3,18.5,0,0,0,0,0,0
2022-11-04T18:00,7.8,88,5.9,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2022-11-04T19:00,7.4,89,5.7,0,4,0,0,0,0,0,0,0,0,0,0,0,0
2022-11-04T20:00,7,90,5.4,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2022-11-04T21:00,6.9,90,5.4,0,17,0,0,0,0,0,0,0,0,0,0,0,0
2022-11-04T22:00,7,90,5.5,0,28,0,0,0,0,0,0,0,0,0,0,0,0
2022-11-04T23:00,7.1,90,5.7,0,52,0,0,0,0,0,0,0,0,0,0,0,0
2022-11-05T00:00,6.9,90,5.5,0,42,0,0,0,0,0,0,0,0,0,0,0,0
2022-11-05T01:00,6.7,90,5.2,0,64,0,0,0,0,0,0,0,0,0,0,0,0
2022-11-05T02:00,6.9,91,5.5,0,100,0,0,0,0,0,0,0,0,0,0,0,0
2022-11-05T03:00,7.8,90,6.3,0,100,0,0,0,0,0,0,0,0,0,0,0,0
2022-11-05T04:00,8.8,88,6.9,0,76,0,0,0,0,0,0,0,0,0,0,0,0
2022-11-05T05:00,7.8,91,6.4,0,66,0,0,0,0,0,0,0,0,0,0,0,0
2022-11-05T06:00,7.6,89,6,0,100,0,0,0,0,0,0,0,0,0,0,0,0
2022-11-05T07:00,8.1,90,6.5,0,100,0,0,0,0,0,0,0,0,0,0,0,0
