READING DATE,00:00,00:30,01:00,01:30,02:00,02:30,03:00,03:30,04:00,04:30,05:00,05:30,06:00,06:30,07:00,07:30,08:00,08:30,09:00,09:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:00,21:30,22:00,22:30,23:00,23:30
10/02/2024,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.03000,0.23300,0.78900,1.59000,2.06400,3.73000,3.39100,3.03600,2.64200,3.77800,4.43000,3.43400,2.38400,2.78600,2.66800,3.07200,1.34000,1.39000,0.51100,0.03600,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
09/02/2024,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00500,0.16200,0.50400,1.23900,2.04500,2.64800,2.44500,3.05000,3.23400,3.82700,2.76600,2.32900,2.43200,1.75300,1.85000,1.95900,1.49400,0.97500,0.20700,0.00100,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
08/02/2024,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.03300,0.58800,2.11000,3.24400,3.69000,4.38700,5.75200,5.71100,6.29700,7.62100,7.31100,6.17400,5.31800,3.05600,2.27800,2.09900,0.88800,0.61300,0.06000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
07/02/2024,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.02800,0.38200,1.43300,3.51800,8.76900,11.88900,14.22200,17.53900,15.46600,15.09100,18.15600,17.12400,14.54500,13.77700,10.61700,6.45200,2.02300,1.22500,0.27100,0.00900,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
06/02/2024,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.01400,0.38600,1.58000,3.04700,4.53900,5.17900,9.73300,9.18300,15.04200,12.13200,9.41100,8.05600,9.52300,6.89300,5.95600,4.81900,3.32800,1.31100,0.29600,0.00900,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
05/02/2024,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.01200,0.17500,0.86600,2.94600,4.45500,7.12600,7.68300,9.21500,6.95400,9.09600,6.97100,8.29600,5.94600,3.72900,3.24700,2.54300,1.80500,0.80700,0.11900,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
04/02/2024,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.14300,0.70000,3.59800,4.73300,5.55600,6.42600,8.59300,4.22200,5.24500,3.74000,3.84000,2.16400,2.26900,3.18500,1.77600,1.11300,0.49500,0.07000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
03/02/2024,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.02100,0.29100,1.32500,2.62100,3.36100,7.17900,4.77200,3.66900,6.65100,15.58800,17.36800,10.02400,10.05900,8.96300,7.39200,3.61300,1.67900,0.62400,0.18400,0.00100,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
02/02/2024,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.02100,0.13300,0.44800,0.77300,1.04800,1.72300,1.72300,2.80500,4.09100,5.61800,9.39000,10.21500,11.06900,7.64500,4.19800,1.17300,0.44800,0.12600,0.00200,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
01/02/2024,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.02000,0.33900,0.97600,2.44500,3.95100,4.73400,4.68400,6.55000,3.42800,4.29600,5.93900,4.40100,3.72400,4.16400,3.49700,2.25800,1.61900,0.51600,0.08900,0.00100,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
