READING DATE,00:00,00:30,01:00,01:30,02:00,02:30,03:00,03:30,04:00,04:30,05:00,05:30,06:00,06:30,07:00,07:30,08:00,08:30,09:00,09:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:00,21:30,22:00,22:30,23:00,23:30
10/02/2024,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.27600,2.88700,10.80500,22.08000,28.79100,51.73800,47.29200,42.43600,36.85000,52.82300,62.11700,47.97500,33.23800,38.92700,37.24800,42.84500,18.52200,19.27800,6.89100,0.31400,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
09/02/2024,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.83300,6.69600,17.07300,28.46800,36.92300,34.09800,42.60300,45.15300,53.55100,38.59300,32.40900,33.92700,24.30400,25.70400,27.22500,20.66200,13.39800,2.52200,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
08/02/2024,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.23000,7.96300,29.59700,45.49100,51.49200,61.51500,80.67700,80.11000,88.47500,107.50800,103.12800,87.16600,75.04600,42.83500,31.86400,29.24800,12.29700,8.29900,0.47000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
07/02/2024,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.20900,4.97200,20.68500,59.62400,134.57400,174.05300,219.31700,287.36200,253.14900,240.68300,313.88600,302.78900,259.32500,222.52700,161.09500,97.34800,33.11700,17.29300,3.45400,0.02300,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
06/02/2024,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.04700,5.04500,21.89900,43.04400,65.07600,74.19200,144.70400,141.93000,238.06200,186.89700,145.63500,121.86700,146.34300,103.36200,86.31600,70.05200,54.14100,19.01100,3.85300,0.02800,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
05/02/2024,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.02300,2.07000,11.85600,41.21600,62.49800,100.58000,108.76000,131.33300,98.43200,129.42500,98.94800,117.79400,83.59200,52.28000,45.49300,35.53500,25.13200,11.05500,1.35200,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
04/02/2024,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.59800,9.53600,50.20900,66.72000,77.98200,90.08800,121.23800,59.09000,73.52200,52.33600,53.75600,30.15000,31.58500,44.50300,24.67500,15.32000,6.63300,0.70300,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
03/02/2024,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.11200,3.77100,19.37300,40.23700,49.05600,103.58500,67.25400,52.49500,101.67800,257.96400,273.43100,149.95300,149.33400,132.32800,109.69200,51.59700,23.42200,8.51700,2.23800,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
02/02/2024,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.02900,1.44700,5.94900,10.57800,14.42400,24.00600,24.00600,39.28500,57.48200,80.10300,138.79900,152.98000,162.43400,111.95600,60.59600,16.20700,5.93700,1.35200,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
01/02/2024,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.06600,4.40600,13.90800,38.22700,66.99400,66.43500,65.84900,92.78500,48.18800,60.38200,83.55200,61.79400,52.33200,58.61200,51.37900,32.39200,22.55300,6.95300,0.94500,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
31/01/2024,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.50800,4.65300,15.75200,30.44200,58.34600,57.53500,86.71200,46.09200,19.05700,14.52800,15.05000,13.05400,19.19800,12.21200,5.97900,2.83200,6.75200,1.29200,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
30/01/2024,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.01900,3.19900,12.01700,24.97500,85.23200,143.23700,177.74400,199.92700,104.47500,80.35400,114.40500,146.96200,132.25100,127.04100,38.64600,31.01700,21.82100,9.94000,1.08900,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
29/01/2024,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.32200,3.70900,9.89200,15.93900,26.13700,33.92300,41.38700,50.84500,60.23400,49.02800,42.34600,26.14900,12.10700,16.11500,12.78300,4.55700,0.20400,0.01800,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
28/01/2024,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.82600,8.96300,17.93400,26.71600,40.64200,53.27900,88.27700,86.37300,81.60100,90.89800,89.41000,77.76500,59.67800,33.72700,21.56900,9.67500,2.31300,0.00100,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
